timestamp,Actual Value,Predicted Value
2021-01-07 06:15:00,36897.02667,36707.484
2021-01-07 09:30:00,37653.01,36420.344
2021-01-07 12:45:00,38532.68667,36951.387
2021-01-07 16:00:00,38523.09667,37650.164
2021-01-07 19:15:00,39265.89,37723.844
2021-01-07 22:30:00,38744.13,38246.5
2021-01-08 01:45:00,38059.47333,37812.19
2021-01-08 05:00:00,38466.39667,37282.992
2021-01-08 08:15:00,40304.65,37620.918
2021-01-08 11:30:00,41217.20333,38933.32
2021-01-08 14:45:00,40971.97,39573.74
2021-01-08 18:00:00,39785.95,39413.508
2021-01-08 21:15:00,40399.16,38581.54
2021-01-09 00:30:00,40210.11667,38955.645
2021-01-09 03:45:00,39446.63333,38910.89
2021-01-09 07:00:00,39925.94667,38325.336
2021-01-09 10:15:00,40743.91333,38647.21
2021-01-09 13:30:00,40552.09333,39249.625
2021-01-09 16:45:00,40485.52667,39174.707
2021-01-09 20:00:00,40304.97,39087.836
2021-01-09 23:15:00,40718.6,38934.625
2021-01-10 02:30:00,40594.39667,39234.844
2021-01-10 05:45:00,40760.15,39154.625
2021-01-10 09:00:00,39736.14667,39269.098
2021-01-10 12:15:00,39651.54667,38537.895
2021-01-10 15:30:00,38492.4,38471.496
2021-01-10 18:45:00,37469.83,37636.38
2021-01-10 22:00:00,37789.98667,36818.73
2021-01-11 01:15:00,35530.03333,37135.176
2021-01-11 04:30:00,34490.07333,35329.2
2021-01-11 07:45:00,35196.85667,34358.79
2021-01-11 11:00:00,33274.18667,35053.715
2021-01-11 14:15:00,32147.47333,33428.07
2021-01-11 17:30:00,32327.80333,32215.645
2021-01-11 20:45:00,34501.43333,32425.719
2021-01-12 00:00:00,34468.18,34425.664
2021-01-12 03:15:00,35565.07,34434.246
2021-01-12 06:30:00,36025.99333,35304.074
2021-01-12 09:45:00,35366.39,35686.797
2021-01-12 13:00:00,34142.29,35228.008
2021-01-12 16:15:00,34795.88667,34100.086
2021-01-12 19:30:00,34346.19333,34651.707
2021-01-12 22:45:00,33275.27333,34267.312
2021-01-13 02:00:00,33489.67333,33325.875
2021-01-13 05:15:00,34203.84,33507.547
2021-01-13 08:30:00,34821.69,34099.914
2021-01-13 11:45:00,34470.18667,34655.652
2021-01-13 15:00:00,34687.86,34373.68
2021-01-13 18:15:00,35822.88667,34567.832
2021-01-13 21:30:00,37359.21667,35570.906
2021-01-14 00:45:00,37299.07667,36807.527
2021-01-14 04:00:00,37761.93667,36730.965
2021-01-14 07:15:00,38252.81333,37074.055
2021-01-14 10:30:00,38441.04333,37458.41
2021-01-14 13:45:00,39293.35333,37625.434
2021-01-14 17:00:00,39634.34667,38294.75
2021-01-14 20:15:00,38971.11,38507.64
2021-01-14 23:30:00,39247.85333,38020.945
2021-01-15 02:45:00,38397.76667,38235.918
2021-01-15 06:00:00,38143.12667,37583.57
2021-01-15 09:15:00,38064.54333,37377.04
2021-01-15 12:30:00,36787.82667,37312.402
2021-01-15 15:45:00,35471.7,36314.766
2021-01-15 19:00:00,35816.15333,35248.29
2021-01-15 22:15:00,37062.35,35500.793
2021-01-16 01:30:00,36601.02333,36531.844
2021-01-16 04:45:00,36378.34333,36140.85
2021-01-16 08:00:00,37235.43667,35943.44
2021-01-16 11:15:00,37161.00333,36651.113
2021-01-16 14:30:00,37172.59667,36577.57
2021-01-16 17:45:00,36685.42333,36559.824
2021-01-16 21:00:00,36003.96667,36252.273
2021-01-17 00:15:00,36187.85667,35685.95
2021-01-17 03:30:00,35579.97333,35826.58
2021-01-17 06:45:00,34599.85,35276.227
2021-01-17 10:00:00,34957.94667,34464.742
2021-01-17 13:15:00,35494.06333,34760.08
2021-01-17 16:30:00,35851.78333,35230.965
2021-01-17 19:45:00,36179.63333,35553.586
2021-01-17 23:00:00,36024.02667,35801.055
2021-01-18 02:15:00,35261.85,35675.5
2021-01-18 05:30:00,35792.76667,35045.32
2021-01-18 08:45:00,36305.80333,35450.76
2021-01-18 12:00:00,36743.69333,35901.367
2021-01-18 15:15:00,35924.70667,36299.023
2021-01-18 18:30:00,36060.86667,35596.87
2021-01-18 21:45:00,36574.59333,35718.297
2021-01-19 01:00:00,36774.22333,36163.715
2021-01-19 04:15:00,36517.67,34414.848
2021-01-19 07:30:00,36969.49,34921.1
2021-01-19 10:45:00,37043.85333,35481.36
2021-01-19 14:00:00,37291.66667,35733.273
2021-01-19 17:15:00,36586.93,36159.883
2021-01-19 20:30:00,36326.19,35824.746
2021-01-19 23:45:00,36028.58,35634.414
2021-01-20 03:00:00,35445.28333,35431.973
2021-01-20 06:15:00,35450.36333,35107.688
2021-01-20 09:30:00,34643.57667,35164.137
2021-01-20 12:45:00,34468.15667,34553.516
2021-01-20 16:00:00,34580.90333,34350.715
2021-01-20 19:15:00,34948.43333,34454.125
2021-01-20 22:30:00,35059.52333,34783.383
2021-01-21 01:45:00,34398.59667,34899.863
2021-01-21 05:00:00,34484.71667,34287.426
2021-01-21 08:15:00,33038.65,34366.8
2021-01-21 11:30:00,31657.43,33117.215
2021-01-21 14:45:00,31750.41667,31737.295
2021-01-21 18:00:00,32006.98667,31906.613
2021-01-21 21:15:00,30521.46667,32140.514
2021-01-22 00:30:00,30146.51333,30731.494
2021-01-22 03:45:00,31425.67333,30366.129
2021-01-22 07:00:00,31312.26667,31594.346
2021-01-22 10:15:00,31782.57667,31430.176
2021-01-22 13:30:00,32428.38333,31821.232
2021-01-22 16:45:00,33097.46667,32526.896
2021-01-22 20:00:00,33199.72667,33151.375
2021-01-22 23:15:00,32534.48333,33230.32
